Focal.Colony.ID,Site,Pole,Quad,Year,ID,Surface.Area,no.Macroborers,No.Bites,Out.of.frame,Notes,,,,
1,LTER1,1,8,2005,coral 1A,1367.657,4,21,yes,,,,,
1,LTER1,1,8,2006,-,-,-,-,-,not analyzing this photo b/c focal coral not in photo,,,,
1,LTER1,1,8,2007,coral 1A,794.834,3,66,yes,,,,,
1,LTER1,1,8,2008,coral 1A,742.505,1,15,yes,,,,,
1,LTER1,1,8,2009,coral 1A,197.12,1,8,yes,,,,,
1,LTER1,1,8,2010,coral 1A,458.033,2,5,yes,,,,,
1,LTER1,1,8,2011,coral 1A,4.834,0,0,no,,,,,
1,LTER1,1,8,2011,coral 1B,2.647,0,3,no,,,,,
1,LTER1,1,8,2011,coral 1C,3.269,0,0,no,,,,,
1,LTER1,1,8,2011,coral 1D,13.209,0,3,yes,,,,,
1,LTER1,1,8,2011,coral 1E,8.031,0,0,no,,,,,
1,LTER1,1,8,2011,coral 1F,1.301,0,0,no,,,,,
1,LTER1,1,8,2012,coral 1A,8.416,0,0,no,,,,,
1,LTER1,1,8,2012,coral 1C,7.94,0,0,no,,,,,
1,LTER1,1,8,2012,coral 1D,37.949,0,1,yes,,,,,
1,LTER1,1,8,2012,coral 1E,12.565,0,2,no,,,,,
1,LTER1,1,8,2013,coral 1A,13.407,0,0,no,,,,,
1,LTER1,1,8,2013,coral 1d,8.159,0,0,yes,,,,,
1,LTER1,1,8,2013,coral 1e,12.291,0,0,yes,,,,,
1,LTER1,1,8,2013,coral 1f,2.66,0,0,no,,,,,
1,LTER1,1,8,2013,coral 1g,3.445,0,0,no,,,,,
1,LTER1,1,8,2014,coral 1a,18.437,0,0,no,,,,,
1,LTER1,1,8,2014,coral 1d,2.94,0,3,yes,,,,,
1,LTER1,1,8,2014,coral 1e,23.389,0,4,no,,,,,
1,LTER1,1,8,2014,coral 1f,5.61,0,1,no,,,,,
1,LTER1,1,8,2014,coral 1g,9.516,0,2,no,,,,,
1,LTER1,1,8,2015,coral 1a,18.671,0,0,no,,,,,
1,LTER1,1,8,2015,coral 1d,4.081,0,0,yes,,,,,
1,LTER1,1,8,2015,coral 1e,11.717,0,0,no,,,,,
1,LTER1,1,8,2015,coral 1f,12.708,0,2,no,,,,,
1,LTER1,1,8,2015,coral 1g,17.506,0,8,no,,,,,
1,LTER1,1,8,2016,coral 1a,23.627,0,9,no,,,,,
1,LTER1,1,8,2016,coral 1d,16.153,0,4,no,,,,,
1,LTER1,1,8,2016,coral 1e,14.906,0,3,no,,,,,
1,LTER1,1,8,2016,coral 1f,18.886,0,4,no,,,,,
1,LTER1,1,8,2016,coral 1g,19.846,0,7,no,,,,,
2,LTER1,2,1,2005,coral 2,295.782,26,5,no,,,,,
2,LTER1,2,1,2006,-,-,-,-,-,not analyzing this photo b/c focal coral not in photo,,,,
2,LTER1,2,1,2007,coral 2,361.345,9,0,no,,,,,
2,LTER1,2,1,2008,coral 2,349.175,7,4,no,,,,,
2,LTER1,2,1,2009,coral 2,113.892,0,2,yes,,,,,
2,LTER1,2,1,2010,coral 2a,21.663,1,0,yes,,,,,
2,LTER1,2,1,2010,coral 2b,31.462,0,3,no,,,,,
2,LTER1,2,1,2010,coral 2c,2.967,0,1,no,,,,,
2,LTER1,2,1,2011,coral 2a,21.184,1,1,yes,,,,,
2,LTER1,2,1,2011,coral 2b,19.802,1,0,no,,,,,
2,LTER1,2,1,2011,coral 2c,3.116,0,1,no,,,,,
2,LTER1,2,1,2012,coral 2a,16.817,0,2,no,,,,,
2,LTER1,2,1,2012,coral 2d,3.118,0,0,no,,,,,
2,LTER1,2,1,2013,-,-,-,-,-,photo missing,,,,
2,LTER1,2,1,2014,coral 2a,4.567,0,0,yes,,,,,
2,LTER1,2,1,2015,coral 2e,3.326,0,0,no,,,,,
2,LTER1,2,1,2016,coral 2a,24.603,0,0,yes,,,,,
2,LTER1,2,1,2016,coral 2e,13.337,0,0,no,,,,,
3,LTER1,3,6,2005,coral 3,148.149,0,18,no,,,,,
3,LTER1,3,6,2006,-,-,-,-,-,not analyzing this photo b/c focal coral not in photo,,,,
3,LTER1,3,6,2007,coral 3,257.702,0,132,no,,,,,
3,LTER1,3,6,2008,coral 3,496.925,3,19,no,,,,,
3,LTER1,3,6,2009,coral 3,558.249,3,4,no,,,,,
3,LTER1,3,6,2010,-,-,-,-,-,not analyzing this photo b/c focal coral not in photo,,,,
3,LTER1,3,6,2011,coral 3a,5.652,0,0,no,,,,,
3,LTER1,3,6,2011,coral 3b,3.943,0,0,yes,,,,,
3,LTER1,3,6,2011,coral 3c,5.268,0,0,no,covered by transect tape,,,,
3,LTER1,3,6,2011,coral 3d,9.52,0,0,no,,,,,
3,LTER1,3,6,2011,coral 3e,46.011,0,0,yes,,,,,
3,LTER1,3,6,2011,coral 3f,0.395,0,0,no,,,,,
3,LTER1,3,6,2011,coral 3g,0.881,0,0,no,,,,,
3,LTER1,3,6,2012,coral 3a,5.468,0,0,no,,,,,
3,LTER1,3,6,2012,coral 3b,3.406,0,0,yes,,,,,
3,LTER1,3,6,2012,coral 3c,1.976,0,0,no,covered by transect tape,,,,
3,LTER1,3,6,2012,coral 3e,1.741,0,0,yes,,,,,
3,LTER1,3,6,2012,coral 3f,0.836,0,0,no,,,,,
3,LTER1,3,6,2012,coral 3g,1.169,0,0,no,,,,,
3,LTER1,3,6,2013,coral 3a,19.189,0,0,yes,,,,,
3,LTER1,3,6,2013,coral 3b,2.622,0,0,yes,,,,,
3,LTER1,3,6,2013,coral 3e,1.022,0,0,yes,,,,,
3,LTER1,3,6,2013,coral 3f,2.963,0,0,no,,,,,
3,LTER1,3,6,2014,coral 3a,7.259,0,0,no,,,,,
3,LTER1,3,6,2014,coral 3b,1.224,0,0,yes,,,,,
3,LTER1,3,6,2014,coral 3e,3.352,0,1,no,,,,,
3,LTER1,3,6,2014,coral 3f,0.31,0,0,no,,,,,
3,LTER1,3,6,2015,coral 3a,19.991,0,0,no,,,,,
3,LTER1,3,6,2015,coral 3b,2.624,0,0,yes,,,,,
3,LTER1,3,6,2015,coral 3e,2.408,0,0,no,,,,,
3,LTER1,3,6,2015,coral 3f,1.479,0,0,no,,,,,
3,LTER1,3,6,2015,coral 3h,5.592,0,0,yes,,,,,
3,LTER1,3,6,2016,coral 3a,17.994,0,0,no,,,,,
3,LTER1,3,6,2016,coral 3b,8.288,0,0,no,,,,,
3,LTER1,3,6,2016,coral 3e,2.242,0,0,no,,,,,
3,LTER1,3,6,2016,coral 3f,9.203,0,0,no,,,,,
3,LTER1,3,6,2016,coral 3h,2.273,0,0,yes,,,,,
4,LTER1,4,2,2005,coral 4,1933.802,10,54,yes,,,,,
4,LTER1,4,2,2006,-,-,-,-,-,not analyzing this photo b/c focal coral not in photo,,,,
4,LTER1,4,2,2007,coral 4,1586.838,14,45,yes,transect tape washed out,,,,
4,LTER1,4,2,2008,coral 4,981.473,5,7,yes,"no transect tape, used ruler to set scale",,,,
4,LTER1,4,2,2009,coral 4,1598.7,3,4,yes,,,,,
4,LTER1,4,2,2010,coral 4,1899.828,12,6,yes,small marks on corals - looks like thin scars not sure what from though (didn't count as bites),,,,
4,LTER1,4,2,2011,coral 4a,1430.387,15,31,yes,likely an underestimate of the bites but not confident in the other marks,,,,
4,LTER1,4,2,2011,coral 4b,28.005,0,9,no,,,,,
4,LTER1,4,2,2011,coral 4c,11.533,0,0,no,,,,,
4,LTER1,4,2,2012,coral 4a,81.795,0,14,no,,,,,
4,LTER1,4,2,2012,coral 4d,70.047,0,3,no,,,,,
4,LTER1,4,2,2012,coral 4e,4.019,0,0,no,,,,,
4,LTER1,4,2,2013,coral 4d,17.83,0,0,no,,,,,
4,LTER1,4,2,2014,-,-,-,-,-,coral is dead - not analyzing photo,,,,
4,LTER1,4,2,2015,-,-,-,-,-,coral is dead - not analyzing photo,,,,
4,LTER1,4,2,2016,-,-,-,-,-,coral is dead - not analyzing photo,,,,
5,LTER1,4,5,2005,,,,,,,,,,
5,LTER1,4,5,2006,,,,,,,,,,
5,LTER1,4,5,2007,,,,,,,,,,
5,LTER1,4,5,2008,,,,,,,,,,
5,LTER1,4,5,2009,,,,,,,,,,
5,LTER1,4,5,2010,,,,,,,,,,
5,LTER1,4,5,2011,,,,,,,,,,
5,LTER1,4,5,2012,,,,,,,,,,
5,LTER1,4,5,2013,,,,,,,,,,
5,LTER1,4,5,2014,,,,,,,,,,
5,LTER1,4,5,2015,,,,,,,,,,
5,LTER1,4,5,2016,,,,,,,,,,
6,LTER1,5,7,2005,coral 6,1009.292,24,6,yes,,,,,
6,LTER1,5,7,2006,-,-,-,-,-,not analyzing this photo b/c focal coral not in photo,,,,
6,LTER1,5,7,2007,coral 6,1216.369,11,6,yes,couldn't save coordinates for dead patches of coral (issues with ImageJ),,,,
6,LTER1,5,7,2008,coral 6,910.265,19,6,yes,,,,,
6,LTER1,5,7,2009,coral 6,788.139,13,7,yes,,,,,
6,LTER1,5,7,2010,coral6a,11.308,0,1,no,,,,,
6,LTER1,5,7,2010,coral 6f,3.56,0,0,no,,,,,
6,LTER1,5,7,2010,coral 6d,11.073,0,1,no,,,,,
6,LTER1,5,7,2010,coral 6e,5.551,0,0,no,,,,,
6,LTER1,5,7,2010,coral 6g,12.006,0,0,yes,,,,,
6,LTER1,5,7,2010,coral 6k,6.372,0,0,no,,,,,
6,LTER1,5,7,2010,coral 6j,1.35,0,0,no,,,,,
6,LTER1,5,7,2010,coral 6h,49.456,4,4,yes,,,,,
6,LTER1,5,7,2011,coral 6a,34.498,2,0,no,,,,,
6,LTER1,5,7,2011,coral 6d,11.45,0,1,no,,,,,
6,LTER1,5,7,2011,coral 6e,7.036,0,3,no,,,,,
6,LTER1,5,7,2011,coral 6g,24.306,0,0,no,covered by transect tape,,,,
6,LTER1,5,7,2011,coral 6h,43.455,3,0,no,,,,,
6,LTER1,5,7,2011,coral 6i,8.71,0,0,no,,,,,
6,LTER1,5,7,2011,coral 6j,8.977,0,0,no,covered by transect tape,,,,
6,LTER1,5,7,2011,coral 6k,6.634,0,0,no,covered by transect tape,,,,
6,LTER1,5,7,2012,coral 6a,42.181,0,0,yes,,,,,
6,LTER1,5,7,2012,coral 6e,7.665,0,0,no,,,,,
6,LTER1,5,7,2012,coral 6g,16.931,0,0,yes,,,,,
6,LTER1,5,7,2012,coral 6h,39.701,4,0,no,,,,,
6,LTER1,5,7,2012,coral 6j,15.947,0,0,no,covered by transect tape,,,,
6,LTER1,5,7,2012,coral 6l,13.257,0,0,no,,,,,
6,LTER1,5,7,2013,coral 6a,61.218,0,0,no,,,,,
6,LTER1,5,7,2013,coral 6e,10.311,0,0,no,,,,,
6,LTER1,5,7,2013,coral 6g,51.644,1,0,no,covered by transect tape,,,,
6,LTER1,5,7,2013,coral 6h,39.052,4,2,no,,,,,
6,LTER1,5,7,2013,coral 6i,25.072,0,0,yes,,,,,
6,LTER1,5,7,2013,coral 6j,12.532,0,0,no,covered by transect tape,,,,
6,LTER1,5,7,2013,coral 6l,14.623,0,1,no,,,,,
6,LTER1,5,7,2013,coral 6m,8.937,0,0,yes,,,,,
6,LTER1,5,7,2014,coral 6a,66.541,2,0,no,,,,,
6,LTER1,5,7,2014,coral 6e,16.632,0,1,no,,,,,
6,LTER1,5,7,2014,coral 6g,59.204,1,0,no,covered by transect tape,,,,
6,LTER1,5,7,2014,coral 6h,46.687,5,17,no,,,,,
6,LTER1,5,7,2014,coral 6i,20.325,0,2,yes,,,,,
6,LTER1,5,7,2014,coral 6j,7.982,0,5,no,,,,,
6,LTER1,5,7,2014,coral 6l,21.856,0,9,no,,,,,
6,LTER1,5,7,2015,coral 6a,80.12,0,0,yes,,,,,
6,LTER1,5,7,2015,coral 6e,29.359,0,0,no,,,,,
6,LTER1,5,7,2015,coral 6g,41.309,0,0,yes,,,,,
6,LTER1,5,7,2015,coral 6h,32.756,3,1,no,,,,,
6,LTER1,5,7,2015,coral 6i,16.902,0,0,yes,,,,,
6,LTER1,5,7,2015,coral 6j,9.606,0,0,no,,,,,
6,LTER1,5,7,2015,coral 6l,35.52,0,0,no,,,,,
6,LTER1,5,7,2015,coral 6n,12.917,0,7,no,,,,,
6,LTER1,5,7,2016,coral 6a,128.289,0,0,no,,,,,
6,LTER1,5,7,2016,coral 6g,114.661,3,0,yes,,,,,
6,LTER1,5,7,2016,coral 6i,69.701,0,0,yes,,,,,
6,LTER1,5,7,2016,coral 6j,10.719,0,2,no,,,,,
6,LTER1,5,7,2016,coral 6l,46.399,1,0,no,,,,,
6,LTER1,5,7,2016,coral 6n,17.152,0,2,no,,,,,
7,LTER1,1,1,2005,,,,,,not analyzing this photo b/c focal coral not in photo,,,,
7,LTER1,1,1,2006,,,,,,,,,,
7,LTER1,1,1,2007,,,,,,,,,,
7,LTER1,1,1,2008,,,,,,,,,,
7,LTER1,1,1,2009,,,,,,,,,,
7,LTER1,1,1,2010,,,,,,,,,,
7,LTER1,1,1,2011,,,,,,,,,,
7,LTER1,1,1,2012,,,,,,,,,,
7,LTER1,1,1,2013,,,,,,,,,,
7,LTER1,1,1,2014,,,,,,,,,,
7,LTER1,1,1,2015,,,,,,,,,,
7,LTER1,1,1,2016,,,,,,,,,,
8,LTER1,2,4,2005,,,,,,,,,,
8,LTER1,2,4,2006,,,,,,,,,,
8,LTER1,2,4,2007,,,,,,,,,,
8,LTER1,2,4,2008,,,,,,,,,,
8,LTER1,2,4,2009,,,,,,,,,,
8,LTER1,2,4,2010,,,,,,,,,,
8,LTER1,2,4,2011,,,,,,,,,,
8,LTER1,2,4,2012,,,,,,,,,,
8,LTER1,2,4,2013,,,,,,,,,,
8,LTER1,2,4,2014,,,,,,,,,,
8,LTER1,2,4,2015,,,,,,,,,,
8,LTER1,2,4,2016,,,,,,,,,,
9,LTER1,3,7,2005,,,,,,,,,,
9,LTER1,3,7,2006,,,,,,,,,,
9,LTER1,3,7,2007,,,,,,,,,,
9,LTER1,3,7,2008,,,,,,,,,,
9,LTER1,3,7,2009,,,,,,,,,,
9,LTER1,3,7,2010,,,,,,,,,,
9,LTER1,3,7,2011,,,,,,,,,,
9,LTER1,3,7,2012,,,,,,,,,,
9,LTER1,3,7,2013,,,,,,,,,,
9,LTER1,3,7,2014,,,,,,,,,,
9,LTER1,3,7,2015,,,,,,,,,,
9,LTER1,3,7,2016,,,,,,,,,,
10,LTER1,3,8,2005,,,,,,,,,,
10,LTER1,3,8,2006,,,,,,,,,,
10,LTER1,3,8,2007,,,,,,,,,,
10,LTER1,3,8,2008,,,,,,,,,,
10,LTER1,3,8,2009,,,,,,,,,,
10,LTER1,3,8,2010,,,,,,,,,,
10,LTER1,3,8,2011,,,,,,,,,,
10,LTER1,3,8,2012,,,,,,,,,,
10,LTER1,3,8,2013,,,,,,,,,,
10,LTER1,3,8,2014,,,,,,,,,,
10,LTER1,3,8,2015,,,,,,,,,,
10,LTER1,3,8,2016,,,,,,,,,,
11,LTER1,4,1,2005,,,,,,,,,,
11,LTER1,4,1,2006,,,,,,,,,,
11,LTER1,4,1,2007,,,,,,,,,,
11,LTER1,4,1,2008,,,,,,,,,,
11,LTER1,4,1,2009,,,,,,,,,,
11,LTER1,4,1,2010,,,,,,,,,,
11,LTER1,4,1,2011,,,,,,,,,,
11,LTER1,4,1,2012,,,,,,,,,,
11,LTER1,4,1,2013,,,,,,,,,,
11,LTER1,4,1,2014,,,,,,,,,,
11,LTER1,4,1,2015,,,,,,,,,,
11,LTER1,4,1,2016,,,,,,,,,,
12,LTER1,4,7,2005,,,,,,,,,,
12,LTER1,4,7,2006,,,,,,,,,,
12,LTER1,4,7,2007,,,,,,,,,,
12,LTER1,4,7,2008,,,,,,,,,,
12,LTER1,4,7,2009,,,,,,,,,,
12,LTER1,4,7,2010,,,,,,,,,,
12,LTER1,4,7,2011,,,,,,,,,,
12,LTER1,4,7,2012,,,,,,,,,,
12,LTER1,4,7,2013,,,,,,,,,,
12,LTER1,4,7,2014,,,,,,,,,,
12,LTER1,4,7,2015,,,,,,,,,,
12,LTER1,4,7,2016,,,,,,,,,,
13,LTER1,4,8,2005,,,,,,,,,,
13,LTER1,4,8,2006,,,,,,,,,,
13,LTER1,4,8,2007,,,,,,,,,,
13,LTER1,4,8,2008,,,,,,,,,,
13,LTER1,4,8,2009,,,,,,,,,,
13,LTER1,4,8,2010,,,,,,,,,,
13,LTER1,4,8,2011,,,,,,,,,,
13,LTER1,4,8,2012,,,,,,,,,,
13,LTER1,4,8,2013,,,,,,,,,,
13,LTER1,4,8,2014,,,,,,,,,,
13,LTER1,4,8,2015,,,,,,,,,,
13,LTER1,4,8,2016,,,,,,,,,,
14,LTER3,1,1,2005,,,,,,,,,,
14,LTER3,1,1,2006,,,,,,,,,,
14,LTER3,1,1,2007,,,,,,,,,,
14,LTER3,1,1,2008,,,,,,,,,,
14,LTER3,1,1,2009,,,,,,,,,,
14,LTER3,1,1,2010,,,,,,,,,,
14,LTER3,1,1,2011,,,,,,,,,,
14,LTER3,1,1,2012,,,,,,,,,,
14,LTER3,1,1,2013,,,,,,,,,,
14,LTER3,1,1,2014,,,,,,,,,,
14,LTER3,1,1,2015,,,,,,,,,,
14,LTER3,1,1,2016,,,,,,,,,,
15,LTER3,1,2,2005,,,,,,,,,,
15,LTER3,1,2,2006,,,,,,,,,,
15,LTER3,1,2,2007,,,,,,,,,,
15,LTER3,1,2,2008,,,,,,,,,,
15,LTER3,1,2,2009,,,,,,,,,,
15,LTER3,1,2,2010,,,,,,,,,,
15,LTER3,1,2,2011,,,,,,,,,,
15,LTER3,1,2,2012,,,,,,,,,,
15,LTER3,1,2,2013,,,,,,,,,,
15,LTER3,1,2,2014,,,,,,,,,,
15,LTER3,1,2,2015,,,,,,,,,,
15,LTER3,1,2,2016,,,,,,,,,,
16,LTER3,1,3,2005,,,,,,,,,,
16,LTER3,1,3,2006,,,,,,,,,,
16,LTER3,1,3,2007,,,,,,,,,,
16,LTER3,1,3,2008,,,,,,,,,,
16,LTER3,1,3,2009,,,,,,,,,,
16,LTER3,1,3,2010,,,,,,,,,,
16,LTER3,1,3,2011,,,,,,,,,,
16,LTER3,1,3,2012,,,,,,,,,,
16,LTER3,1,3,2013,,,,,,,,,,
16,LTER3,1,3,2014,,,,,,,,,,
16,LTER3,1,3,2015,,,,,,,,,,
16,LTER3,1,3,2016,,,,,,,,,,
17,LTER3,1,4,2005,,,,,,,,,,
17,LTER3,1,4,2006,,,,,,,,,,
17,LTER3,1,4,2007,,,,,,,,,,
17,LTER3,1,4,2008,,,,,,,,,,
17,LTER3,1,4,2009,,,,,,,,,,
17,LTER3,1,4,2010,,,,,,,,,,
17,LTER3,1,4,2011,,,,,,,,,,
17,LTER3,1,4,2012,,,,,,,,,,
17,LTER3,1,4,2013,,,,,,,,,,
17,LTER3,1,4,2014,,,,,,,,,,
17,LTER3,1,4,2015,,,,,,,,,,
17,LTER3,1,4,2016,,,,,,,,,,
18,LTER3,1,8,2005,,,,,,,,,,
18,LTER3,1,8,2006,,,,,,,,,,
18,LTER3,1,8,2007,,,,,,,,,,
18,LTER3,1,8,2008,,,,,,,,,,
18,LTER3,1,8,2009,,,,,,,,,,
18,LTER3,1,8,2010,,,,,,,,,,
18,LTER3,1,8,2011,,,,,,,,,,
18,LTER3,1,8,2012,,,,,,,,,,
18,LTER3,1,8,2013,,,,,,,,,,
18,LTER3,1,8,2014,,,,,,,,,,
18,LTER3,1,8,2015,,,,,,,,,,
18,LTER3,1,8,2016,,,,,,,,,,
19,LTER3,4,3,2005,,,,,,,,,,
19,LTER3,4,3,2006,,,,,,,,,,
19,LTER3,4,3,2007,,,,,,,,,,
19,LTER3,4,3,2008,,,,,,,,,,
19,LTER3,4,3,2009,,,,,,,,,,
19,LTER3,4,3,2010,,,,,,,,,,
19,LTER3,4,3,2011,,,,,,,,,,
19,LTER3,4,3,2012,,,,,,,,,,
19,LTER3,4,3,2013,,,,,,,,,,
19,LTER3,4,3,2014,,,,,,,,,,
19,LTER3,4,3,2015,,,,,,,,,,
19,LTER3,4,3,2016,,,,,,,,,,
20,LTER3,4,6,2005,,,,,,,,,,
20,LTER3,4,6,2006,,,,,,,,,,
20,LTER3,4,6,2007,,,,,,,,,,
20,LTER3,4,6,2008,,,,,,,,,,
20,LTER3,4,6,2009,,,,,,,,,,
20,LTER3,4,6,2010,,,,,,,,,,
20,LTER3,4,6,2011,,,,,,,,,,
20,LTER3,4,6,2012,,,,,,,,,,
20,LTER3,4,6,2013,,,,,,,,,,
20,LTER3,4,6,2014,,,,,,,,,,
20,LTER3,4,6,2015,,,,,,,,,,
20,LTER3,4,6,2016,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
