"","V1","mean.p","mean.t","mean.obs.dist","mean.null.dist","pval.ttest.p","pval.ttest.t","pval.ttest.lc","pval.ttest.uc"
"1","-.2005",NA,NA,NA,NA,NA,NA,NA,NA
"2","-.2007",NA,NA,NA,NA,NA,NA,NA,NA
"3","-.2008",NA,NA,NA,NA,NA,NA,NA,NA
"4","-.2009",NA,NA,NA,NA,NA,NA,NA,NA
"5","-.2010",NA,NA,NA,NA,NA,NA,NA,NA
"6","-.2011",NA,NA,NA,NA,NA,NA,NA,NA
"7","-.2012",NA,NA,NA,NA,NA,NA,NA,NA
"8","-.2013",NA,NA,NA,NA,NA,NA,NA,NA
"9","-.2014",NA,NA,NA,NA,NA,NA,NA,NA
"10","-.2015",NA,NA,NA,NA,NA,NA,NA,NA
"11","-.2016",NA,NA,NA,NA,NA,NA,NA,NA
"12","1.2008",NA,NA,NA,NA,NA,NA,NA,NA
"13","1.2009",NA,NA,NA,NA,NA,NA,NA,NA
"14","4.2008",NA,NA,NA,NA,NA,NA,NA,NA
"15","4.2009",NA,NA,NA,NA,NA,NA,NA,NA
"16","coral 1A.2005",0.465495942015876,0.743580772151475,360.430457029375,407.064599567821,1,47.101662240324,-Inf,0.480019088758545
"17","coral 1A.2007",0.0226807775211568,2.98678172301571,232.94579825874,317.057961099508,9.92173124847234e-44,-14.5092685096495,-Inf,0.0257807153927054
"18","coral 1A.2008",0.119371280595196,1.96277676164066,323.644159214742,525.087132814143,1,14.0051886611068,-Inf,0.127526223429078
"19","coral 1A.2009",0.455200605443154,0.658842325770237,326.193156182554,386.023633329244,1,46.6626996929293,-Inf,0.469497127443531
"20","coral 1A.2010",0.714187230800896,-0.086420967845963,254.960481004231,245.907880514553,1,111.054361084436,-Inf,0.724033803162364
"21","coral 1a.2011",NA,NA,NA,NA,NA,NA,NA,NA
"22","coral 1a.2012",NA,NA,NA,NA,NA,NA,NA,NA
"23","coral 1a.2013",NA,NA,NA,NA,NA,NA,NA,NA
"24","coral 1a.2014",NA,NA,NA,NA,NA,NA,NA,NA
"25","coral 1a.2015",NA,NA,NA,NA,NA,NA,NA,NA
"26","coral 1a.2016",NA,NA,NA,NA,NA,NA,NA,NA
"27","coral 1b.2011",NA,NA,NA,NA,NA,NA,NA,NA
"28","coral 1c.2011",NA,NA,NA,NA,NA,NA,NA,NA
"29","coral 1c.2012",NA,NA,NA,NA,NA,NA,NA,NA
"30","coral 1d.2011",NA,NA,NA,NA,NA,NA,NA,NA
"31","coral 1d.2012",NA,NA,NA,NA,NA,NA,NA,NA
"32","coral 1d.2013",NA,NA,NA,NA,NA,NA,NA,NA
"33","coral 1d.2014",NA,NA,NA,NA,NA,NA,NA,NA
"34","coral 1d.2015",NA,NA,NA,NA,NA,NA,NA,NA
"35","coral 1d.2016",NA,NA,NA,NA,NA,NA,NA,NA
"36","coral 1e.2011",NA,NA,NA,NA,NA,NA,NA,NA
"37","coral 1e.2012",NA,NA,NA,NA,NA,NA,NA,NA
"38","coral 1e.2013",NA,NA,NA,NA,NA,NA,NA,NA
"39","coral 1e.2014",NA,NA,NA,NA,NA,NA,NA,NA
"40","coral 1e.2015",NA,NA,NA,NA,NA,NA,NA,NA
"41","coral 1e.2016",NA,NA,NA,NA,NA,NA,NA,NA
"42","coral 1f.2011",NA,NA,NA,NA,NA,NA,NA,NA
"43","coral 1f.2013",NA,NA,NA,NA,NA,NA,NA,NA
"44","coral 1f.2014",NA,NA,NA,NA,NA,NA,NA,NA
"45","coral 1f.2015",NA,NA,NA,NA,NA,NA,NA,NA
"46","coral 1f.2016",NA,NA,NA,NA,NA,NA,NA,NA
"47","coral 1g.2013",NA,NA,NA,NA,NA,NA,NA,NA
"48","coral 1g.2014",NA,NA,NA,NA,NA,NA,NA,NA
"49","coral 1g.2015",NA,NA,NA,NA,NA,NA,NA,NA
"50","coral 1g.2016",NA,NA,NA,NA,NA,NA,NA,NA
"51","coral 2.2005",0.376027460888952,1.10227441393427,47.3082093876126,73.054199312736,1,38.6262130023756,-Inf,0.389923858230421
"52","coral 2.2007",NA,NA,NA,NA,NA,NA,NA,NA
"53","coral 2.2008",0.703201654222537,0.021125162941063,126.59435560191,129.050639261479,1,102.313648790125,-Inf,0.713712650339182
"54","coral 2.2009",NA,NA,NA,NA,NA,NA,NA,NA
"55","coral 2a.2010",NA,NA,NA,NA,NA,NA,NA,NA
"56","coral 2a.2011",NA,NA,NA,NA,NA,NA,NA,NA
"57","coral 2a.2012",NA,NA,NA,NA,NA,NA,NA,NA
"58","coral 2a.2014",NA,NA,NA,NA,NA,NA,NA,NA
"59","coral 2a.2016",NA,NA,NA,NA,NA,NA,NA,NA
"60","coral 2b.2010",NA,NA,NA,NA,NA,NA,NA,NA
"61","coral 2b.2011",NA,NA,NA,NA,NA,NA,NA,NA
"62","coral 2c.2010",NA,NA,NA,NA,NA,NA,NA,NA
"63","coral 2c.2011",NA,NA,NA,NA,NA,NA,NA,NA
"64","coral 2d.2012",NA,NA,NA,NA,NA,NA,NA,NA
"65","coral 2e.2015",NA,NA,NA,NA,NA,NA,NA,NA
"66","coral 2e.2016",NA,NA,NA,NA,NA,NA,NA,NA
"67","coral 3.2005",NA,NA,NA,NA,NA,NA,NA,NA
"68","coral 3.2007",NA,NA,NA,NA,NA,NA,NA,NA
"69","coral 3.2008",0.0261079500596766,-2.76695355330422,366.186903235666,249.71609947834,6.54557888181757e-47,-15.1096898922101,-Inf,0.028711272941505
"70","coral 3.2009",0.421993137455992,-1.04654082061464,367.326072609405,296.759994405083,1,37.3821042238611,-Inf,0.438376436439749
"71","coral 3a.2011",NA,NA,NA,NA,NA,NA,NA,NA
"72","coral 3a.2012",NA,NA,NA,NA,NA,NA,NA,NA
"73","coral 3a.2013",NA,NA,NA,NA,NA,NA,NA,NA
"74","coral 3a.2014",NA,NA,NA,NA,NA,NA,NA,NA
"75","coral 3a.2015",NA,NA,NA,NA,NA,NA,NA,NA
"76","coral 3a.2016",NA,NA,NA,NA,NA,NA,NA,NA
"77","coral 3b.2011",NA,NA,NA,NA,NA,NA,NA,NA
"78","coral 3b.2012",NA,NA,NA,NA,NA,NA,NA,NA
"79","coral 3b.2013",NA,NA,NA,NA,NA,NA,NA,NA
"80","coral 3b.2014",NA,NA,NA,NA,NA,NA,NA,NA
"81","coral 3b.2015",NA,NA,NA,NA,NA,NA,NA,NA
"82","coral 3b.2016",NA,NA,NA,NA,NA,NA,NA,NA
"83","coral 3c.2011",NA,NA,NA,NA,NA,NA,NA,NA
"84","coral 3c.2012",NA,NA,NA,NA,NA,NA,NA,NA
"85","coral 3d.2011",NA,NA,NA,NA,NA,NA,NA,NA
"86","coral 3e.2011",NA,NA,NA,NA,NA,NA,NA,NA
"87","coral 3e.2012",NA,NA,NA,NA,NA,NA,NA,NA
"88","coral 3e.2013",NA,NA,NA,NA,NA,NA,NA,NA
"89","coral 3e.2014",NA,NA,NA,NA,NA,NA,NA,NA
"90","coral 3e.2015",NA,NA,NA,NA,NA,NA,NA,NA
"91","coral 3e.2016",NA,NA,NA,NA,NA,NA,NA,NA
"92","coral 3f.2011",NA,NA,NA,NA,NA,NA,NA,NA
"93","coral 3f.2012",NA,NA,NA,NA,NA,NA,NA,NA
"94","coral 3f.2013",NA,NA,NA,NA,NA,NA,NA,NA
"95","coral 3f.2014",NA,NA,NA,NA,NA,NA,NA,NA
"96","coral 3f.2015",NA,NA,NA,NA,NA,NA,NA,NA
"97","coral 3f.2016",NA,NA,NA,NA,NA,NA,NA,NA
"98","coral 3g.2011",NA,NA,NA,NA,NA,NA,NA,NA
"99","coral 3g.2012",NA,NA,NA,NA,NA,NA,NA,NA
"100","coral 3h.2015",NA,NA,NA,NA,NA,NA,NA,NA
"101","coral 4.2005",0.527453548987786,0.56689479954284,236.952586832104,251.099701470955,1,55.9018059820022,-Inf,0.541515172312821
"102","coral 4.2007",0.482036346153388,0.697469958895006,202.797597127406,223.738745560526,1,49.9300874552246,-Inf,0.4962821883914
"103","coral 4.2008",NA,NA,NA,NA,NA,NA,NA,NA
"104","coral 4.2009",NA,NA,NA,NA,NA,NA,NA,NA
"105","coral 4.2010",0.589935670712113,0.40057691936933,169.234383358843,194.656339983836,1,67.6833336997889,-Inf,0.60306947230644
"106","coral 4a.2011",0.0192321384465305,2.89132833959981,163.425404178323,350.315526364171,9.39600202482812e-98,-23.4831360739938,-Inf,0.0213892439699519
"107","coral 4a.2012",NA,NA,NA,NA,NA,NA,NA,NA
"108","coral 4b.2011",NA,NA,NA,NA,NA,NA,NA,NA
"109","coral 4c.2011",NA,NA,NA,NA,NA,NA,NA,NA
"110","coral 4d.2012",NA,NA,NA,NA,NA,NA,NA,NA
"111","coral 4d.2013",NA,NA,NA,NA,NA,NA,NA,NA
"112","coral 4e.2012",NA,NA,NA,NA,NA,NA,NA,NA
"113","coral 6.2005",0.100863204901932,2.25918099316407,56.8374107471902,148.307984780211,1,14.0753750140114,-Inf,0.106812615185682
"114","coral 6.2007",0.479046014899916,-0.587598987171197,194.120849382402,174.299357622014,1,45.7354117409712,-Inf,0.494490785140881
"115","coral 6.2008",3.42134081972281e-06,21.3598225721671,120.503389710623,941.737487066237,0,-5482733.12843029,-Inf,3.43635402254294e-06
"116","coral 6.2009",0.538647472632749,0.518420634888492,169.036920790917,206.599411312344,1,56.597431410059,-Inf,0.552861891463113
"117","coral 6a.2010",NA,NA,NA,NA,NA,NA,NA,NA
"118","coral 6a.2011",NA,NA,NA,NA,NA,NA,NA,NA
"119","coral 6a.2012",NA,NA,NA,NA,NA,NA,NA,NA
"120","coral 6a.2013",NA,NA,NA,NA,NA,NA,NA,NA
"121","coral 6a.2014",NA,NA,NA,NA,NA,NA,NA,NA
"122","coral 6a.2015",NA,NA,NA,NA,NA,NA,NA,NA
"123","coral 6a.2016",NA,NA,NA,NA,NA,NA,NA,NA
"124","coral 6d.2010",NA,NA,NA,NA,NA,NA,NA,NA
"125","coral 6d.2011",NA,NA,NA,NA,NA,NA,NA,NA
"126","coral 6e.2010",NA,NA,NA,NA,NA,NA,NA,NA
"127","coral 6e.2011",NA,NA,NA,NA,NA,NA,NA,NA
"128","coral 6e.2012",NA,NA,NA,NA,NA,NA,NA,NA
"129","coral 6e.2013",NA,NA,NA,NA,NA,NA,NA,NA
"130","coral 6e.2014",NA,NA,NA,NA,NA,NA,NA,NA
"131","coral 6e.2015",NA,NA,NA,NA,NA,NA,NA,NA
"132","coral 6f.2010",NA,NA,NA,NA,NA,NA,NA,NA
"133","coral 6g.2010",NA,NA,NA,NA,NA,NA,NA,NA
"134","coral 6g.2011",NA,NA,NA,NA,NA,NA,NA,NA
"135","coral 6g.2012",NA,NA,NA,NA,NA,NA,NA,NA
"136","coral 6g.2013",NA,NA,NA,NA,NA,NA,NA,NA
"137","coral 6g.2014",NA,NA,NA,NA,NA,NA,NA,NA
"138","coral 6g.2015",NA,NA,NA,NA,NA,NA,NA,NA
"139","coral 6g.2016",NA,NA,NA,NA,NA,NA,NA,NA
"140","coral 6h.2010",0.585812615466066,-0.318573193400139,131.190567746127,114.801311571707,1,65.7811675211431,-Inf,0.59922300923343
"141","coral 6h.2011",NA,NA,NA,NA,NA,NA,NA,NA
"142","coral 6h.2012",NA,NA,NA,NA,NA,NA,NA,NA
"143","coral 6h.2013",0.496532654125531,0.450928624358262,83.5742547583806,102.742601170159,1,49.9375261625363,-Inf,0.511254300186873
"144","coral 6h.2014",0.553894757944546,-0.355036581772211,90.4411112978343,86.0240664178838,1,57.4191700492859,-Inf,0.568342936574293
"145","coral 6h.2015",NA,NA,NA,NA,NA,NA,NA,NA
"146","coral 6i.2011",NA,NA,NA,NA,NA,NA,NA,NA
"147","coral 6i.2013",NA,NA,NA,NA,NA,NA,NA,NA
"148","coral 6i.2014",NA,NA,NA,NA,NA,NA,NA,NA
"149","coral 6i.2015",NA,NA,NA,NA,NA,NA,NA,NA
"150","coral 6i.2016",NA,NA,NA,NA,NA,NA,NA,NA
"151","coral 6j.2010",NA,NA,NA,NA,NA,NA,NA,NA
"152","coral 6j.2011",NA,NA,NA,NA,NA,NA,NA,NA
"153","coral 6j.2012",NA,NA,NA,NA,NA,NA,NA,NA
"154","coral 6j.2013",NA,NA,NA,NA,NA,NA,NA,NA
"155","coral 6j.2014",NA,NA,NA,NA,NA,NA,NA,NA
"156","coral 6j.2015",NA,NA,NA,NA,NA,NA,NA,NA
"157","coral 6j.2016",NA,NA,NA,NA,NA,NA,NA,NA
"158","coral 6k.2010",NA,NA,NA,NA,NA,NA,NA,NA
"159","coral 6k.2011",NA,NA,NA,NA,NA,NA,NA,NA
"160","coral 6l.2012",NA,NA,NA,NA,NA,NA,NA,NA
"161","coral 6l.2013",NA,NA,NA,NA,NA,NA,NA,NA
"162","coral 6l.2014",NA,NA,NA,NA,NA,NA,NA,NA
"163","coral 6l.2015",NA,NA,NA,NA,NA,NA,NA,NA
"164","coral 6l.2016",0.292398536225739,-3.21823495827527,295.268772059914,166.888860476988,1,28.5847729335286,-Inf,0.306359822072945
"165","coral 6m.2013",NA,NA,NA,NA,NA,NA,NA,NA
"166","coral 6n.2015",NA,NA,NA,NA,NA,NA,NA,NA
"167","coral 6n.2016",NA,NA,NA,NA,NA,NA,NA,NA
"168","na.2005",NA,NA,NA,NA,NA,NA,NA,NA
